"Original RecipeChicken",Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
"Robinsons Apple &blackcurrant- Large",sulphur,,40,10,0,0,0,0,0,0
1.5L Pepsi Max Bottle +,,,30,5,0,0,1.5,0,0,0
Tango Apple- Kids,,,375,90,0.05,0,22,22,0,0
Tango Apple- Regular,,,500,120,0.06,0,28.5,28.5,0,0
Tango Apple-Large,,,690,165,0.08,0,40,40,0,0
Tango Orange- Kids,,,245,60,0,0,13.9,13.9,0,0.2
Tango Orange- Regular,,,315,75,0,0,18,18,0,0.3
Tango Orange- Large,,,445,105,0,0,25.2,25.2,0,0.4
Lipton Ice Tea - Kids,,,85,20,0.5,0.1,4.5,4.5,0.5,0.03
Lipton Ice Tea - Regular,,,185,45,1.2,0.2,10.7,10.4,1.2,0.06
Club Orange - Kids #,,,525,125,0,0,30.2,30.2,0,0.1
Club Orange - Regular #,,,700,160,0,0,39,39,0,0.2
Club Orange - Large #,,,965,230,0,0,54.6,54.6,0,0.2
"Club Orange Zero -Kids #",,,40,10,0,0,0,0,0,0.2
"Club Orange Zero -Regular #",,,40,10,0,0,0,0,0,0.2
"Club Orange Zero -Large #",,,65,15,0,0,0,0,0,0.3
Tropicana Orange Juice,,,505,120,0,0,25,25,2,0
Copella Apple Juice,,,485,115,0,0,26.8,25.8,0.5,0
Espresso- Single,,,20,5,0,0,1,0,0,0
"Black Americano-Regular",,,20,5,0,0,1,0,0,0
Black Americano- Large,,,40,10,0,0,1.6,0,0,0
"White Americano-Regular",milk,,210,50,1.4,1,5.3,4.3,3.2,0.1
White Americano- Large,milk,,295,70,2,1.3,7.5,5.9,4.4,0.14
Regular Cappuccino,milk,wheat gluten,400,95,2.7,1.8,11.5,10.1,5.4,0.2
Large Cappuccino,milk,wheat gluten,460,110,3.2,2.2,13.3,11.9,6.8,0.2
Regular Latte,milk,,355,85,2.6,1.7,8.7,7.7,5.8,0.2
Large Latte,milk,,460,110,3.5,2.3,11.4,10.4,7.8,0.3
Regular Vanilla Latte,milk,,525,125,2.6,1.7,20,19,5.8,0.2
Large Vanilla Latte,milk,,710,170,3.5,2.3,26.4,25.4,7.8,0.25
Regular Caramel Latte,milk,,735,175,3.5,2.3,30,26.8,5.9,0.21
Large Caramel Latte,milk,,925,220,4.4,2.9,36.5,33.2,8,0.3
Regular Café Mocha,milk soya,wheat gluten,1240,295,6.2,4.5,50.9,44.9,7.6,0.4
"Regular Hot Chocolatewith Cream",milk,barley gluten,1490,355,14.4,10.5,45.3,41.9,9.7,0.5
"Large Hot Chocolatewith Cream",milk,barley gluten,1825,435,16.3,11.9,58.7,54.1,12.3,0.7
Regular/Large Black Tea,,,0,0,0,0,0,0,0,0
Condiments,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
"Real Tomato sauce dippot",,,155,40,0.2,0.1,8.5,7.3,0.4,0.44
"Garlic Buttermilk Mayodip pot",eggs milk,,460,110,10.3,0.9,4,2.4,0.3,0.4
"Kentucky Smoky BBQsauce dip pot",barley gluten,,220,50,0.2,0.1,12.2,10,0.4,0.26
"Sticky Sweet Chillisauce dip pot",,,310,75,0.7,0.2,16.4,14,0.2,0.36
"Original Hot sauce dippot",,,160,40,0.1,0.1,8.5,6.4,0.5,0.52
Heinz Vinegar Sachet,barley gluten,,10,5,0,0,0.2,0.1,0.1,0
"Heinz Tomato KetchupSachet",celery,,30,10,0.04,0.01,2.2,1.9,1,0.2
"Heinz Light MayonnaiseSachet",eggs mustard,"wheat gluten barley gluten ryegluten oat gluten kamutgluten spelt gluten celerysulphur",115,30,2.5,0.2,0.7,0.4,0.1,0.2
"Heinz HP BBQ SauceSachet",,,65,15,0,0,3.2,2.3,0.1,0.1
"Heinz HP Brown SauceSachet",barley gluten rye gluten,,55,15,0.01,0,3.5,2.5,0.1,0.15
Sugar Sachet,,,45,10,0,0,2.5,2.5,0,0
Salt Sachet,,,0,0,0,0,0,0,0,0.8
Pepper Sachet,,,5,1,0,0,0.1,0,0,0
,,,,,Fat,†Sat,^Carbs,Sugars,Protein,*Salt
Boxmeals,Contains Allergens,May Also Contain Allergens,kJ,kcal,,,,,,
,,,,,(g),Fat(g),(g),(g),(g),(g)
,milk eggs wheat gluten,,,,,,,,,
Boneless Banquet,barley gluten oat gluten,peanut sesame soya,4090,975,41.1,4.2,95.4,11,57.3,3.87
,mustard celery sulphur,,,,,,,,,
,sesame milk eggs wheat,,,,,,,,,
,gluten barley gluten oat,,,,,,,,,
Fillet Box Meal,,peanut soya,4602,1100,47.7,6.3,111,7.6,57.6,3.09
,gluten mustard celery,,,,,,,,,
,sulphur,,,,,,,,,
,sesame milk eggs wheat,,,,,,,,,
,gluten barley gluten oat,,,,,,,,,
Zinger Box Meal,,peanut soya,3845,920,42.7,5,94.6,5.8,39.4,2.98
,gluten mustard celery,,,,,,,,,
,sulphur,,,,,,,,,
,sesame milk eggs wheat,,,,,,,,,
Fillet with Bacon &,gluten barley gluten oat,,,,,,,,,
,,peanut soya,5085,1215,54.7,9.8,115.5,11.7,65.6,4.55
Cheese Box Meal,gluten mustard celery,,,,,,,,,
,sulphur,,,,,,,,,
,sesame milk eggs wheat,,,,,,,,,
The Big Daddy Meal,gluten barley gluten oat,,,,,,,,,
,,peanut soya,6065,1450,67.4,10.7,143.7,11.7,68.4,5.21
box meal,gluten mustard celery,,,,,,,,,
,sulphur,,,,,,,,,
,,,,,Fat,†Sat,^Carbs,Sugars,Protein,*Salt
For Sharing,Contains Allergens,May Also Contain Allergens,kJ,kcal,,,,,,
,,,,,(g),Fat(g),(g),(g),(g),(g)
6 piece Bargain Bucket,milk eggs wheat gluten,sesame soya celery,2775,665,33.7,5.3,55.2,0.4,34.8,1.53
10 piece Bargain Bucket,milk eggs wheat gluten,sesame soya celery,3780,905,47.8,8.1,62.7,0.4,55.4,2.45
14 piece Bargain Bucket,milk eggs wheat gluten,sesame soya celery,4790,1145,61.9,10.9,70.2,0.4,76.1,3.37
,milk eggs wheat gluten,,,,,,,,,
8 piece Dipping,,,,,,,,,,
,barley gluten oat gluten,peanut sesame soya,3490,835,34.4,3.5,92.2,14.6,44,3.47
Boneless Feast,,,,,,,,,,
,mustard celery sulphur,,,,,,,,,
,milk eggs wheat gluten,,,,,,,,,
12 piece Dipping,,,,,,,,,,
,barley gluten oat gluten,peanuts sesame soya,4030,965,40,4.1,98.1,14.8,57.8,4.27
Boneless Feast,,,,,,,,,,
,mustard celery sulphur,,,,,,,,,
6 piece Wicked Variety,milk eggs wheat gluten,sesame soya celery,4010,960,50.6,7.8,68.3,0.7,57.5,3.25
10 piece Wicked Variety,milk eggs wheat gluten,sesame soya celery,5020,1200,64.7,10.6,75.8,0.7,78.2,4.17
14 piece Party Bucket,"milk eggs wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,5360,1280,65.6,10.3,91.1,4.3,84.6,4.78
6 piece Family Feast,"eggs milk wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,3125,750,34.9,5.4,73.2,5.7,39.9,2.05
10 piece Family Feast,"eggs milk wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,4130,990,49,8.3,80.8,5.7,60.6,2.97
14 piece Family Feast,"eggs milk wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,5160,1235,65.2,12.1,86.2,5.8,81.7,3.82
Party Bucket,"milk eggs wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,5360,1280,65.6,10.3,91.1,4.3,84.6,4.78
Chicken,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
Mighty Bucket For One,milk eggs wheat gluten,sesame soya celery,4060,970,54.2,9.4,36.7,0.6,83.3,4.72
6 Hot Wings Meal,wheat gluten,milk egg sesame soya celery,3335,800,46.4,6.7,64.4,0.5,31,2.71
Popcorn Chicken Meal,"milk eggs wheat glutencelery",sesame soya,2470,590,28.5,3.7,59.2,1,25.3,1.77
"Large Popcorn ChickenMeal","milk eggs wheat glutencelery",sesame soya,3210,770,38.8,3.8,72.5,0.7,33,2.64
"4 piece Boneless DipsMeal","milk eggs wheat glutenbarley gluten",sesame soya celery,3980,950,39.6,4.1,88.7,17.4,60,4.4
"3 piece Boneless DipsMeal","milk eggs wheat glutenbarley gluten",sesame soya celery,3430,820,34,3.5,82.4,17.2,46.2,3.53
3 piece OR Meal,milk eggs wheat gluten,sesame soya celery,4290,1025,54.8,9.5,66.5,0.4,66.1,1.99
2 piece OR Meal,milk eggs wheat gluten,sesame soya celery,3285,785,40.7,6.7,58.9,0.4,45.4,1.99
3 piece Variety Meal,milk eggs wheat gluten,sesame soya celery,5530,1320,71.7,12,79.5,0.7,88.9,4.62
2 piece Variety Meal,milk eggs wheat gluten,sesame soya celery,4545,1085,59.7,10.2,69.9,0.7,68.6,3.64
Burgers,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
Fillet Tower Meal,"sesame milk eggs wheatgluten celery mustard",soya,3865,925,40.6,5.7,102.3,10.6,37.6,3.54
Zinger Tower Meal,"sesame milk eggs wheatgluten barley glutensmustard",soya celery,3760,900,40.1,5.5,100.5,9.3,34.3,3.37
Fillet Burger Meal,"sesame milk eggs wheatgluten mustard",soya celery,3250,780,31.9,3.3,89,5.9,33.8,2.17
Zinger Burger Meal,"sesame eggs wheat glutenmustard",milk soya celery,3155,755,31.4,3.2,87.8,5.7,30.5,2.12
"Fillet with Bacon &Cheese Meal","sesame milk eggs wheatgluten celery mustard",soya,3725,890,38.9,6.8,93.5,9.9,41.8,3.66
Salads & Riceboxes,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
Fillet Salad Meal,"milk eggs wheat glutenmustard",sesame celery soya,2960,710,33.2,3.6,70.2,12.1,30.8,2.48
Zinger Salad Meal,"milk eggs wheat glutenmustard",sesame soya celery,2865,685,32.7,3.4,69,12,27.5,2.43
Veggie Salad Meal,milk eggs mustard,"sesame wheat gluten soyacelery",2390,570,24.6,2.5,76,13.5,11.1,1.22
Fillet Ricebox Meal,"milk eggs wheat glutenbarley gluten mustard",sesame soya celery,3355,800,29.1,3.3,108.4,11.4,31.9,2.66
Zinger Ricebox Meal,"milk eggs wheat glutenbarley gluten mustard",sesame soya celery,3300,790,29.1,3.2,107.6,11.3,29.8,2.67
Veggie Ricebox Meal,"milk eggs barley glutensmustard",sesame soya celery,2830,675,20.5,2.2,114,12.5,13.3,1.63
Wraps,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
Fillet Twister Wrap Meal,"milk eggs wheat glutenmustard",sesame soya celery,3400,810,34.5,3.8,90.6,6.9,33.9,2.32
Fillet Burrito Meal,"milk eggs wheat glutenbarley gluten",sesame soya celery,4070,970,37.3,5.9,119,12.4,39.2,3.54
Zinger Burrito Meal,"milk eggs wheat glutenbarley gluten",sesame soya celery,3975,950,36.8,5.8,117.8,12.3,35.9,3.49
Snacks,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
Megabox,"milk eggs wheat glutenbarley gluten oat glutencelery sulphur",sesame milk eggs soya celery,4620,1105,54.5,7.5,97.9,1,55.6,4.81
Lunchbox,milk eggs wheat gluten,sesame soya celery,3890,930,39,3.6,107.6,1.4,37.7,2.18
Popcorn Snackbox,"milk eggs wheat glutencelery",sesame soya,3100,740,32.8,2.9,96.2,0.9,15.9,1.03
OR Snackbox,milk eggs wheat gluten,sesame soya celery,3540,845,39.2,4.9,95.3,0.8,28.2,1.22
Mini Fillet Snackbox,milk eggs wheat gluten,sesame soya celery,3080,735,30.7,2.7,94,1,21.3,1.17
"Streetwise Allstars Meal(BBQ)","milk eggs wheat glutenbarley glutens celery",sesame soya,3085,735,30,3.9,85.8,4.4,30.7,2.45
"Streetwise Allstars Meal(Flamin')","milk eggs wheat glutencelery",sesame soya,3230,770,35,4,82.9,2.4,30.9,2.46
Kids Meal - Popcorn,"milk eggs wheat glutencelery",sesame soya,1360,325,12.4,3,38.1,16.2,15.1,1
Kids Meal - Burger,"sesame milk eggs wheatgluten celery mustard",soya,1900,455,12,3.3,60.4,21.2,25.7,1.7
"Kids Meal - OriginalRecipe Chicken",milk eggs wheat gluten,sesame soya celery,1800,430,18.8,5,37.2,16.1,27.4,1.2
ROI,Contains Allergens,May Also Contain Allergens,kJ,kcal,"Fat(g)","†SatFat(g)","^Carbs(g)","Sugars(g)","Protein(g)","*Salt(g)"
ROI 3 Legends #,"sesame milk eggs wheatgluten mustard",soya celery,5305,1270,58.5,8.6,118.8,8,66.8,4
ROI Spicebox #,"milk eggs wheat glutencelery mustard",sesame soya,4415,1055,51.8,6.9,108.3,11.4,41.1,5.68
Louisiana Dirty Burger,"milk egg wheat glutensbarley gluten celery mustard",sesame soya,3140,750,38.4,7,63.9,12.3,36.8,4.36
"Louisiana Dirty BurgerMeal","milk egg wheat glutensbarley gluten celery mustard",sesame soya,4390,1050,51,8,107.8,12.6,40.9,4.52
"Louisiana Dirty BurgerBoxMeal","milk egg wheat glutensbarley gluten oat glutencelery mustard sulphur",peanut sesame soya,5310,1270,58.3,8.9,128.6,14.6,57.8,5.38
WOW Value Bucket +,milk eggs wheat gluten,sesame soya celery,9120,2180,125.2,24.5,62.6,2.5,204.7,9.1
Popcorn Snackbox,"milk eggs wheat glutencelery",sesame soya,3100,740,32.8,2.9,96.2,0.9,15.9,1.03
6 piece Family Feast,"eggs milk wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,3125,750,34.9,5.4,73.2,5.7,39.9,2.05
10 piece Family Feast,"eggs milk wheat glutenbarley gluten oat glutenmustard celery sulphur",peanut sesame soya,4130,990,49,8.3,80.8,5.7,60.6,2.97
